"group","asset","file_name","bytes","inferred_game_path"
"CombatFocus","DA_Trait_CombatFocus_AerialTakedown","DA_Trait_CombatFocus_AerialTakedown.uasset","3257","/Game/_Dawnwalker/Player/CharacterDevelopment/Traits/DataAssets/DA_Trait_CombatFocus_AerialTakedown"
"CombatFocus","DA_Trait_CombatFocus_AntigravMoths","DA_Trait_CombatFocus_AntigravMoths.uasset","2150","/Game/_Dawnwalker/Player/CharacterDevelopment/Traits/DataAssets/DA_Trait_CombatFocus_AntigravMoths"
"CombatFocus","DA_Trait_CombatFocus_AntigravSlam","DA_Trait_CombatFocus_AntigravSlam.uasset","2108","/Game/_Dawnwalker/Player/CharacterDevelopment/Traits/DataAssets/DA_Trait_CombatFocus_AntigravSlam"
"CombatFocus","DA_Trait_CombatFocus_AoHActivator","DA_Trait_CombatFocus_AoHActivator.uasset","2367","/Game/_Dawnwalker/Player/CharacterDevelopment/Traits/DataAssets/DA_Trait_CombatFocus_AoHActivator"
"CombatFocus","DA_Trait_CombatFocus_ArcaneBoost","DA_Trait_CombatFocus_ArcaneBoost.uasset","2103","/Game/_Dawnwalker/Player/CharacterDevelopment/Traits/DataAssets/DA_Trait_CombatFocus_ArcaneBoost"
"CombatFocus","DA_Trait_CombatFocus_BloodCleansing","DA_Trait_CombatFocus_BloodCleansing.uasset","2129","/Game/_Dawnwalker/Player/CharacterDevelopment/Traits/DataAssets/DA_Trait_CombatFocus_BloodCleansing"
"CombatFocus","DA_Trait_CombatFocus_BloodTears","DA_Trait_CombatFocus_BloodTears.uasset","2073","/Game/_Dawnwalker/Player/CharacterDevelopment/Traits/DataAssets/DA_Trait_CombatFocus_BloodTears"
"CombatFocus","DA_Trait_CombatFocus_BoilingBlood","DA_Trait_CombatFocus_BoilingBlood.uasset","3173","/Game/_Dawnwalker/Player/CharacterDevelopment/Traits/DataAssets/DA_Trait_CombatFocus_BoilingBlood"
"CombatFocus","DA_Trait_CombatFocus_ChargeAttack","DA_Trait_CombatFocus_ChargeAttack.uasset","3200","/Game/_Dawnwalker/Player/CharacterDevelopment/Traits/DataAssets/DA_Trait_CombatFocus_ChargeAttack"
"CombatFocus","DA_Trait_CombatFocus_DeathMark","DA_Trait_CombatFocus_DeathMark.uasset","3109","/Game/_Dawnwalker/Player/CharacterDevelopment/Traits/DataAssets/DA_Trait_CombatFocus_DeathMark"
